op;codEntrada;codSaida;descricao;cliente;beneficiamento;setor;pesoUnitario;unidade;valorUnitario
44;519466871;519466870;PIASTRA SUPORTO TAMP. SOSP. DX;STOLA DO BRASIL LTDA- FILIAL BELO HORIZONTE;ZN IRIDESCENTE TRIVALENTE - EA1;ESTACIONARIO I;1,323;PC;3,32
46;51956963;51956963;51956963 - BLOCO P FUNDO DE APOIO  DO FAROL - DX;TIBERINA AUTOMOTIVE MG COMP. MET. P/IND AUTOM LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,242;PC;0,32
48;57210081;57200292;SUPORTE DOS PEDAIS PALIO HELLA SOLDADO;IOCHPE MAXION S/A;FOSFATO DE ZINCO OLEADO;FOSFATO;1,227;PC;3,08
56;769885;94458A0;PO SX FL MB 16 CHV 24 ZNI;CISER FIXADORES AUTOMOTIVOS SA;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;0,025;KG;5,28
57;790066;96495A0;PO QD SD AC M12X1,50 CHV 19 H 9,5FO;CISER FIXADORES AUTOMOTIVOS SA;FOSFATO DE ZINCO OLEADO;FOSFATO;0,0018;KG;1,21
70;0257.R20002707;0257.R20000007;PORCA REDONDA RECARTILHADA M8;NUTEP SA INDUSTRIA METALURGICA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,006;KG;0
71;0242.R43010000;0242.R43010000;PORCA QUADRADA DE SOLDA M12;NUTEP SA INDUSTRIA METALURGICA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,029;KG;3,03
99;PF0P30248-TSU1;SER000281;12X1.75-6H(CL10)PORC RED SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;24,4;KG;18,08
117;793A479P2;793A479P2F;LUG COMPONENTE DE DISJ. RESID. ESTAMP;ABB ELETRIFICACAO LTDA;ESTANHO AÇO - RM;RM - DECAPAR;0,0106;KG;7,73
118;566B761P10;566B761P10F;TERMINAL COMP. DISJ. RESID. ESTAMP.;ABB ELETRIFICACAO LTDA;ESTANHO LATÃO - RM;RM - ESTANHO;0,0173;KG;7,73
371;ARRC40277;SER000281;ARRUELA LISA 16X1.3;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;COBREAGEM - RM;RM - COBRE;1,7;KG;1,95
412;PF0P43616-TSU1;SER000281;M6-1,0X18 SEXT 88;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;5,57;KG;11,27
459;PF0P36023-TSU1;SER000281;M10X1.50 CL8 PORCA CIL SOLDA;ACUMENT BRASIL SISTEMAS DE FIXAÇÃO LTDA;DECAPAR E OLEAR - RM;RM - DECAPAR;15,1;KG;10,29
573;2197010012;3197020013;ARRUELA 1159-65;CICLOPE COMPONENTES AUTOMOTIVOS LTDA;ZN PRETO TRIVALENTE + SELANTE - EA1;ESTACIONARIO I;0,074;PC;0,37
595;10010036;20040056;ABA FIXA DIANTEIRA SUPERIOR DIR MOD X1H;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,212;PC;0,43
596;10010037;20040058;ABA FIXA DIANTEIRO SUPERIOR ESQ MOD X1H;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,21;PC;0,43
597;10010038;20040052;ABA FIXA TRASEIRA SUPERIOR DIR MOD X 1H;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,181;PC;0,43
598;10010039;20040054;ABA FIXA TRASEIRA SUPERIOR ESQ MOD X 1H;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,185;PC;0,43
607;20190009;20040034;ABA FIXA TRASEIRA INF. DIREITA.- 50342T;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - EA1;ESTACIONARIO I;0,19;PC;0,43
611;20190012;20040039;ABA MOVEL DIANTEIRO INF. ESQ.- 50331TS;PROMA BRASIL AUTOMOTIVA LTDA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,112;PC;0,24
619;776164;95297A1;PA CL SI 8.8 M6X1X16 TOL 6G C;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,0176;KG;2,29
620;780139;95794A1;PA AB TV AC G5 UNF 5/8X87 RP;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,162;KG;1,65
622;795277;72400332;PI SD AP 5.0X14 RI ZB;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,0016;KG;2,14
624;769299;94381A0;PO QD SD MA 8 CHV 14 H=8,4 6G;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,009;KG;1,65
625;769735;94520A0;PO QD SD C8 M8 CHV 14 H=6,5 6;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,0067;KG;2,14
626;769736;94485A0;PO QD C8 M6 CHV 10 H=5,0 6H;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,0027;KG;2,14
628;776165;95291A0;PO SX 8M6X1 H= 5 TOL 6 H CHV;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,0021;KG;3,08
630;791165;1A00302300;COLAR AC BTC 5 R12 GAHL 3/8;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,012;KG;3,08
631;776032;95188A0;POQDSDC 10 M6X1H=6.3 TOL 6G C;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,0035;KG;2,81
632;791077;1A00403900;PI BT BR 12.8 3.8X1.9.16;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;0,0312;KG;2,94
633;792243;1A00404200;PI BT BR.10 AC 5/16X1.3/8;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;0,018;KG;2,31
635;796686;1A00404100;PI BT BR10-6 AC 5/16X1.9/32;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I;0,017;KG;2,99
637;791130;1A00403300;BT 98T R8-4 PI AC 1/4X1;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,009;KG;2,31
638;796201;1A00403000;BT 98T R8 .22 PI AC 1.4X2 1.8;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,017;KG;3,08
639;791137;1A00302100;COLAR AC BTC R8 ZBT;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,003;KG;3,08
640;791332;1A00302400;COLAR BTC5 R10 ZBT;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + SELANTE - RA1;ROTATIVO I;0,007;KG;3,08
641;768404;72400111;PI SD M6X14;CISER FIXADORES AUTOMOTIVOS SA;COBREAGEM - RM;RM - COBRE;0,0024;KG;2,08
642;768584;72400311;PI SD AP 5,0X14 RI CBR;CISER FIXADORES AUTOMOTIVOS SA;COBREAGEM - RM;RM - COBRE;0,0016;KG;2,08
643;768586;72400611;PI SD AP 5,0X16 RI CBR;CISER FIXADORES AUTOMOTIVOS SA;COBREAGEM - RM;RM - COBRE;0,0016;KG;2,08
644;779215;95647A1;PA SD M6X22 MPOINT CBR;CISER FIXADORES AUTOMOTIVOS SA;COBREAGEM - RM;RM - COBRE;0,005;KG;2,08
646;788677;96430A1;PI SD AP AC 5X14RI CBR;CISER FIXADORES AUTOMOTIVOS SA;COBREAGEM - RM;RM - COBRE;0,0015;KG;2,08
648;789316;96525A1;PA SD PL M POINT AC 3PJ M 6X1,00X16 RI PO;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,011;KG;0,82
649;796119;96756A1;PASDCIR AC 8.8 M8X1,25X25 RI ET;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,011;KG;0,68
650;788459;96406A0;PO QD SD AC C.10 M12X1,5;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,037;KG;0,82
651;769008;96062A0;PO BO SD C.8 MA 8 H=6,3 POL;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,0014;KG;0,82
652;789283;96480A1;PA CH SI AC 8.8 M8X1,25X27;CISER FIXADORES AUTOMOTIVOS SA;FOSFATO DE ZINCO OLEADO;FOSFATO; -   ;KG;1,01
656;784179;96177A1;BUCHA AC 8X12 BCT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,003;KG;1,65
658;707550;94666A2;PA SD 3PJES 8.8 M10X30  94666;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I; -   ;KG;1,65
659;707559;72307702;PA SD 3PJES 8.8 MA 8X25 RI BC;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0014;KG;1,65
660;709379;95285A1;PASXFLCL 8.8M8X1,25X48X1 CHV;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0029;KG;1,65
664;769617;94456A1;PA SD 3PJ ES MA 8X16 RI BCT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,011;KG;1,65
665;773054;94930A1;HA RO 8.8 M10X1,25X75 2 LR 25;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0462;KG;1,65
668;776119;95280A1;PI ESF 10X24 ZB;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0105;KG;1,69
669;776729;95299A1;PA SX FL 8.8 M8X1,25X90 6F CH;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0429;KG;1,65
670;777042;95414A1;PA SD 8.8 M6X1,0X21 6G DEC OL;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0078;KG;1,65
671;779883;94177A4;PASX  AC 5.8 M10X2.5X130 RP 6;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0704;KG;1,65
673;784802;96221A1;PA CL RC AC 8X41 BC;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0169;KG;1,65
674;788760;96431A1;PI RE AC 8X29 BCT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,017;KG;1,65
675;789042;72303202;PA SD 3PJ AP MA 6X25;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0069;KG;2,4
676;795278;72400147;PI SD MA 6X14 RI BCTR;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0025;KG;2,4
677;796350;95280A2;PI ESF 10X26;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0118;KG;1,65
678;796894;72303801;PA SD 3PJ ES AC 8.8 MA 8X22 RI ZIR;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,013;KG;1,65
679;796989;72303201;PA SD 3PJ ES AC M6X1,0X25 6G RI ZIR;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0071;KG;2,4
681;797004;97007A1;PA CL SI 2AR AC 8.8 M6X1X25 RP ZIT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0142;KG;1,65
682;797065;97023A0;POSXFL AC C.8 UNF 7/16 CHV 17 H9;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,014;KG;2,4
683;707722;94993A0;PO SX M12-1,75 CHV 18 H12 ZNI;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0211;KG;2,4
684;707723;94994A0;PO SX FL M14-2,0 CHV 21 H14 B;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0385;KG;2,4
685;767719;93968A0;PO SX CL8 10 MA 6 CHV 10 C;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0021;KG;2,4
686;769624;94440A0;PO SX MA C.88 CHV 13;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0058;KG;2,4
687;769737;94486A0;PO QD SD C 8 M6 CHV 10H5.5 6G;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,002;KG;2,4
689;772479;94871A0;PO SX MA C.8 10 CHV 17;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I;0,01;KG;2,14
690;774345;95073A0;PO CL SD CL8 M8X1,256G 95073A;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE - RA1;ROTATIVO I; -   ;KG;2,14
691;776143;801103;POSXFL C 8 M6X1,0X10 TOL 6H C;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0538;KG;2,14
692;779773;72200701;PO BOCCOLA C.8 UNF 2B 7/16 H1;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,023;KG;2,4
693;780724;95897A0;PO BOCCOLA AC C 8 M8 H13;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0115;KG;2,14
694;789233;96443A1;PO CL TV AC C8 M10X1,25  BCT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0262;KG;2,4
695;789266;96496A0;PO SX AC G 8 UNF 5/8 CHV 15/16 BC;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0325;KG;2,4
697;792230;96794A0;PO CLSD C12 AC M10X1.5 D 18.5 H11;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0176;KG;2,4
698;792685;96821A0;PO SX FL SD AC C 10 M8X1.25;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,012;KG;2,4
699;792688;96820A0;PO QD AC C 10 M6X1.0;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,007;KG;2,4
700;796001;96864A0;POSXFLSD C10  AC M10 CHV16 H13;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,022;KG;2,4
701;796236;96895A0;PO SX FL AC C.8 M5X0,8 CHV 8;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,0018;KG;2,4
703;789906;96594A0;BUFLQD AC 21,8 H 7,0 BCT;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE - RA1;ROTATIVO I;0,01;KG;1,65
708;769739;94489A0;PO QD SD C.12 M8 CHV 14 H =9,;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;0,01;KG;3,1
709;796025;96867A0;PO CL SD AC 10 M6X1,0 6G D=13 H=6,5  ZIR;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,007;KG;2,81
710;706040;94382A0;PO QD SD MA 10 CHV 17 H=10,5;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,0162;KG;3,1
711;777596;95448A1;PA PRI M12-1,25X90 - 3H 6G 10;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE + DSH + SELANTE - RA1;ROTATIVO I; -   ;KG;3,08
712;779296;95691A1;PRI 10.9 AC M12X100 3H 6G;CISER FIXADORES AUTOMOTIVOS SA;ZN IRIDESCENTE TRIVALENTE + DSH - RA1;ROTATIVO I;0,078;KG;3,08
713;709578;95426A1;PA CIL SD 8.8 M6X12 POL    95;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR; -   ;KG;0,68
715;780185;95447A1;PA SD 8.8 M8X1,25X20 DEC OL;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR; -   ;KG;0,68
717;796120;96746A1;PA SD CIR AC 8 8 M6X20 RI POL;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,08;KG;0,82
718;784129;95069A0;PO CL M22 1,5 35X9 POL;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,023;KG;0,82
719;790365;96670A0;PO BOCCOLA AC M12X1,25 CH;CISER FIXADORES AUTOMOTIVOS SA;DECAPAR E OLEAR - RM;RM - DECAPAR;0,018;KG;0,82
720;795449;1A00304800;COLAR MBTC AC R14 ZP;CISER FIXADORES AUTOMOTIVOS SA;ZN NIQUEL PRETO + SELANTE - RA2;ROTATIVO II;0,037;KG;2,16
723;796761;96968A0;PO QD SD AC C.12 M12X1,5 ZB;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,022;KG;2,81
724;775133;95106A0;PO QD SD C12 M8X1,25 CHV 14 H;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,01;KG;2,81
727;791220;96785A1;PA AB TV AC G 8 UNF;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,241;KG;2,34
728;796897;96989A1;PA SD CL AC UNF 7/16 X34,50 RI ZI;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,04;KG;2,34
729;766136;93746A1;PA PN HXL T15 HI LO 4.2X22 RI;CISER FIXADORES AUTOMOTIVOS SA;ZN INCOLOR TRIVALENTE + DSH - RA1;ROTATIVO I;0,002;KG;2,81
730;797007;97010A1;PA CL SI AR AC 8.8 M6X1X20;CISER FIXADORES AUTOMOTIVOS SA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;0,0072;KG;4,74
732;709441;95286A1;PA CI SI 2 AR 8.8 M6X1X25 6G;CISER FIXADORES AUTOMOTIVOS SA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;0,0142;KG;3,23
734;789078;96451A0;PO SX CL AC 8 M12X1,75;CISER FIXADORES AUTOMOTIVOS SA;ZN FERRO PRETO + SELANTE - RA2;ROTATIVO II;0,0332;KG;4,02
735;776819;95287A1;PA CL SI AR 8.8 M6X1X20 6G RI;CISER FIXADORES AUTOMOTIVOS SA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;0,0075;KG;4,72
736;706515;94630A0;PO SX CL 10 M8 CHV 13 H 8;CISER FIXADORES AUTOMOTIVOS SA;ZN FERRO PRETO + DSH + SELANTE - RA2;ROTATIVO II;0,0071;KG;4,72
737;796262;96901A1;PA CL TV AC 8.8 MA 8X18 RI ZN;CISER FIXADORES AUTOMOTIVOS SA;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;0,012;KG;4,33
738;771206;94495A0;PO SX FL DE TQ MA 5 CHV 8 ZNI;CISER FIXADORES AUTOMOTIVOS SA;ZN NIQUEL INCOLOR + SELANTE - RA2;ROTATIVO II;0,0021;KG;5,28
